0,1,2,3,4,5
"tions  applicable  to  companies  listed  in  Austria,  such  as  the  Aus-",the measures are producing the desired results.,,,,
trian Stock Corporation Act and the Austrian Stock Exchange Act.,,,,1.2.3. DR GOV-3 – Integration of sustainability-related perfor-,"(E1-GOV-3.13):  At  the  reporting  date,  FACC  considered  specific"
"Furthermore,  the  Supervisory  Board  is  committed  to  complying","Current  reporting 
is  performed  on  a  quarterly  basis  during  the",,,mance incentive schemes,"short-  and  long-term  goals  for  reducing  CO2  emissions,  but  cli-"
with the rules of the Austrian Code of Corporate Governance. With,Steering  Committee  meetings  in  order  to  ensure  that  the  imple-,,,,mate-related  considerations  have  not  yet  been  incorporated  into
"regard to the company's internal regulations, the Articles of Asso-",mentation of the company's sustainability targets is continuously,,,(ESRS  2-GOV-3.29  a-e):  Compensation  Components:  Total  com-,the compensation of members of the administrative management
ciation  and  Rules  of  Procedure  are  of  primary  importance.  As  a,monitored and improved.,,,pensation  consists  of  fixed  and  variable  components.  While  fixed,and supervisory bodies. The performance of executives was there-
,,,,"compensation is granted regardless of company performance, var-",fore not evaluated against the GHG reduction goals reported under
,,,,"iable compensation is tied to the fulfillment of specific, transpar-","requirement  E1-4.  At  FACC,  there  are  no  specific  financial  incen-"
,,,,ent performance criteria. Specific incentive systems and compen-,tives  or  bonuses  tied  to  the  achievement  of  these  CO2  reduction
,,,,sation policies directly linked to sustainability topics are:,"goals, and no percentage of compensation was linked to climate-"
,,,,,related  considerations  in  the  current  reporting  period.  FACC  de-
,,,,"Fixed,  performance-independent  compensation  components: 
•",fines climate-related considerations as measures to reduce carbon
,,,,"The fixed compensation components include base salary, pen-","emissions,  improve  energy  efficiency,  manage  climate  risks,  and"
,,,,"sion  commitments,  severance  commitments,  benefits  in  kind,",obtain environmental certifications such as ISO 14001. While no
,,,,and fringe benefits.,"financial incentives existed at the reporting date, FACC is actively"
,,,,,examining  the  possibility  of  integrating  such  considerations  into
,,,,,future  compensation  structures  to  better  support  the  company's
,,,,,climate goals and promote sustainable practices.
