0,1,2,3,4
,"3.2.1.3 ESG Governance, Policies, Actions plans en",,"advancing positive impacts, and managing material risks and 
opportunities",
,metrics,M: S1-6,Characteristics of the undertaking’s employee,3.2.3.3.C. S1-6 Characteristics of the undertaking’s
"SBM-2
Interests and views of stakeholders",3.2.1.2.C. Interests and views of stakeholders,,,employees
"SBM-3
Material impacts, risks and opportunities and their interaction 
with strategy and business model","3.2.1.2.D. Brunel’s material topics defined
3.2.1.3.A. Our response to the material impacts,",M: S1-7,Characteristics of non-employees in the undertaking’s own,3.2.3.3.C. S1-7 Characteristics of non-employees in
,Risks and opportunities,,workforce,the undertaking’s own workforce
"IRO-1
Description of the processes to identify and assess material",3.2.1.2.B DMA approach and methodology,M: S1-8,Collective bargaining coverage and social dialogue,"3.2.3.3.C. S1-8 Collective bargaining coverage and 
social dialogue"
"impacts, risks and opportunities",,M: S1-9,Diversity metrics,3.2.3.3.C. S1-9 Diversity
"IRO-2
Disclosure requirements in ESRS covered by the undertaking’s 
sustainability statement",This table,M: S1-10,Adequate wages,3.2.3.3.C. S1-16 Renumeration metrics (pay gap
"MDR-P
Policies adopted to manage material sustainability matters","3.2.1.3.A. Our response to the material Impacts,",,,and total renumeration)
,"Risks and Opportunities
3.2.1.3.D. Policies, Action Plans, Metrics and",M: S1-11,Social protection,3.2.3.2.F. Human rights statement
,Targets for E-S-G specific topics,M: S1-12,Persons with disabilities,"3.2.3.2.J. Diversity, impact & belonging"
"MDR-A
Actions and resources in relation to material sustainability","3.2.1.3.A. Our response to the material Impacts,",M: S1-13,Training and skills development metrics,"3.2.3.3.C. S1-13 Training and skills development 
metrics"
matters,"Risks and Opportunities
3.2.1.3.D. Policies, Action Plans, Metrics and",M: S1-14,Health and safety metrics,3.2.3.3.C. S1-14 Health and safety metrics
,Targets for E-S-G specific topics,M: S1-15,Work-life balance metrics,3.2.3.2.D. Work-life balance
"MDR-M
Metrics in relation to material sustainability matters","3.2.1.3.A. Our response to the material Impacts, 
Risks and Opportunities",M: S1-16,Remuneration metrics (pay gap and total compensation),3.2.3.3.C. S1-16 Renumeration metrics (pay gap
,"3.2.1.3.D. Policies, Action Plans, Metrics and",,,and total renumeration)
,Targets for E-S-G specific topics,M: S1-17,"Incidents, complaints and severe human rights impacts","3.2.3.3.C. S1-17 Incidents, complaints and severe 
human rights impacts"
"MDR-T
Tracking effectiveness of policies and actions through targets","3.2.1.3.D. Policies, Action Plans, Metrics and 
Targets for E-S-G specific topics",ESRS 2 GOV-1,"The role of the administrative, supervisory and management",3.2.1.3.C. ESG governance and management
"ESRS 2 GOV-3
Integration of sustainability-related performance in incentive",Renumeration report,,bodies,"impacts, risks and opportunities"
schemes,,ESRS 2 IRO-1,"Description of the processes to identify and assess material 
impacts, risks and opportunities",3.2.1.2.B. DMA approach and methodology
"S: E1-1
Transition plan for climate change mitigation",3.2.2.3.C. Brunel’s transition plan,G1-1,Business conduct policies and corporate culture,3.2.4.2.B. Code of conduct
"ESRS 2 SBM-3
Material impacts, risks and opportunities and their interaction 
with strategy and business model","3.2.1.2.D. Brunel’s material topics defined
3.2.1.3.A. Our response to the material impacts,",G1-2,Management of relationships with suppliers,3.2.4.2.E. Sustainable procurement and payment
,Risks and opportunities,,,practices
"ESRS 2 IRO-1
Description of the processes to identify and assess material",3.2.1.2.B. DMA approach and methodology,G1-3,Prevention and detection of corruption and bribery,3.2.4.2.C. Anti-corruption and bribery
"climate-related impacts, risks and opportunities",,G1-4,Incidents of corruption or bribery,3.2.4.2.C. Anti-corruption and bribery
"IRO: E1-2
Policies related to climate change mitigation and adaptation",3.2.2.3.C Brunel’s transition plan,G1-5,Political influence and lobbying activities,3.2.4.2. Overall approach to governance
"IRO: E1-3
Actions and resources in relation to climate change policies","3.2.2.3.A. Strategy, governance and action plan 
relating to environment",G1-6,Payment practices,"3.2.4.2.E. Sustainable procurement and payment 
practices"
"M: E1-4
Targets related to climate change mitigation and adaptation",3.2.2.3.C. Brunel’s transition plan,,,
"M: E1-5
Energy consumption and mix – Energy intensity based on net 
revenue",3.2.2.4.A. E1-5 – Energy consumption mix,,,
